absences,G1,G2,failures,studytime,famsup
13,12,12,0,2,yes
0,12,13,0,2,yes
15,6,7,1,2,yes
12,8,10,0,1,yes
2,14,15,0,2,no
22,6,6,2,2,no
13,6,6,1,2,yes
3,7,7,0,1,yes
4,9,10,0,3,yes
2,6,6,0,2,yes
0,6,5,1,3,yes
2,16,16,0,2,no
0,12,13,0,2,yes
0,13,13,0,3,yes
16,9,8,1,2,no
10,16,15,0,2,no
2,12,11,0,2,yes
14,10,8,0,2,yes
10,12,10,0,3,no
14,13,13,0,2,no
4,11,11,0,2,yes
14,11,9,0,2,yes
2,14,13,0,2,yes
18,9,7,0,2,yes
10,11,9,0,3,no
4,14,13,0,2,no
20,13,12,0,1,no
2,13,11,0,2,no
0,7,7,1,2,no
14,12,12,0,2,no
2,10,11,0,2,yes
0,6,0,0,1,no
0,13,12,0,1,no
0,7,0,0,3,yes
6,18,18,0,1,no
4,12,12,0,1,no
16,6,8,3,1,no
8,3,5,1,2,yes
0,13,15,0,1,no
0,6,8,1,1,no
6,7,10,0,2,yes
4,6,9,1,1,no
0,8,9,0,1,no
0,8,12,0,1,no
2,7,9,1,1,yes
6,14,12,0,4,yes
12,11,11,0,2,yes
8,15,14,0,2,no
0,10,9,0,4,no
21,17,18,0,2,yes
2,8,8,0,2,yes
1,13,12,0,3,no
4,10,9,0,3,no
0,9,10,0,3,yes
13,17,17,0,2,yes
2,9,9,0,2,no
8,12,10,0,2,no
10,10,9,0,2,yes
0,6,0,0,2,yes
15,9,9,2,2,yes
4,15,14,0,4,yes
2,11,11,0,2,yes
2,15,14,0,2,yes
2,10,10,0,2,yes
6,12,12,0,2,yes
75,10,9,0,2,no
22,9,9,0,1,no
15,9,8,1,2,yes
8,10,11,0,1,no
30,8,8,0,1,no
19,11,9,1,1,no
1,12,12,0,4,yes
4,8,9,0,2,no
4,10,9,0,2,yes
2,12,10,0,2,no
5,18,18,0,3,yes
6,13,12,0,3,yes
6,15,14,0,3,no
9,15,13,0,2,yes
11,12,11,0,2,yes
0,15,15,0,3,yes
12,12,12,1,2,no
6,18,18,0,4,yes
8,14,13,0,3,yes
4,14,12,0,1,yes
0,10,9,0,2,yes
10,10,8,0,2,yes
0,14,13,0,4,yes
5,16,15,0,1,yes
14,12,10,0,2,yes
0,11,11,0,1,no
0,15,12,0,3,yes
0,17,17,0,4,yes
20,15,14,1,2,yes
8,14,12,1,2,yes
0,17,18,0,1,no
38,8,9,1,1,yes
0,15,12,1,2,no
18,12,10,1,2,yes
0,9,9,1,2,no
20,14,12,0,2,yes
3,13,11,1,2,no
22,13,10,1,2,yes
14,15,13,2,3,no
40,13,11,1,3,no
0,8,8,0,2,yes
9,9,10,0,3,yes
0,11,11,0,3,yes
2,11,11,0,2,yes
23,13,13,0,2,yes
12,11,9,0,2,yes
3,11,11,0,3,yes
1,12,14,0,3,yes
0,16,15,0,3,no
3,9,12,0,3,no
3,14,15,0,1,no
8,11,10,0,1,yes
7,10,9,0,3,yes
4,14,14,0,3,yes
2,9,8,0,4,yes
7,12,14,0,3,yes
0,7,0,0,2,no
0,8,8,0,2,no
0,10,9,0,4,no
16,16,15,0,3,no
12,14,13,1,3,no
0,7,8,0,2,yes
7,16,15,0,4,yes
4,9,10,0,2,yes
4,11,12,1,3,no
0,10,10,1,2,yes
11,16,15,0,2,no
0,9,8,1,2,yes
4,11,10,0,3,yes
7,13,13,0,3,no
9,16,15,0,3,no
0,10,10,0,3,yes
0,13,15,0,3,yes
10,11,13,1,1,yes
8,8,7,3,2,no
2,13,13,0,2,yes
7,8,7,1,1,no
4,8,8,1,1,yes
4,13,11,0,2,yes
0,10,9,0,2,yes
4,12,13,0,2,yes
2,12,12,0,2,no
4,10,10,0,1,no
0,18,16,0,3,no
0,13,13,0,2,no
2,13,12,1,2,no
0,11,11,0,2,yes
0,16,15,0,2,yes
0,12,11,0,2,no
4,10,10,0,2,yes
0,13,13,0,3,no
0,7,6,1,1,yes
0,11,10,0,1,yes
10,14,12,0,2,yes
4,7,7,2,2,no
3,14,12,0,1,yes
8,13,11,0,3,no
14,6,5,0,1,no
0,19,18,0,3,no
2,8,8,0,3,no
4,15,14,2,3,yes
4,8,9,0,2,no
0,15,15,0,2,no
17,10,10,0,2,yes
4,15,14,0,2,no
5,7,6,0,1,no
2,11,11,0,2,no
0,6,5,1,1,no
14,6,5,1,1,no
2,10,9,0,3,no
7,6,5,0,1,yes
0,7,5,1,3,no
0,7,9,0,2,yes
0,6,5,1,2,no
11,9,9,2,2,yes
3,14,16,0,1,no
3,10,8,3,1,no
0,11,12,0,1,no
5,8,9,0,1,no
